Origin;Sequence;Creation Date;Client Document;UF;City;Address Type;Postal Code;Courrier;Status;Coupon;Quantity_SKU;Category Ids Sku;Reference Code;SKU Selling Price;SKU Total Price;Total Value;Discounts Names;Cancelled By;Corporate Document;SalesChannel
Marketplace;16855;2020-06-12 19:46:24Z;21;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;residential;1427;Correo;Faturado;bienvenida;1;/298/303/324/;17 - 34;24839.1;24839.1;38699.1;x;;;4
Marketplace;23891;2020-06-20 11:33:27Z;15;Salta;Salta;residential;4400;Correo;Faturado;;1;/298/303/324/;18 - 34;29999;29999;85197;x;;;4
Marketplace;10381;2020-06-08 22:45:21Z;22;Buenos Aires;City Bell;residential;1896;Correo;Faturado;;1;/517/521/533/;19 - 0;16299;16299;37098;;;;5
Marketplace;19101;2020-06-14 20:32:44Z;23;Córdoba;Capital;pickup;5000;Ret Suc;Faturado;;1;/517/521/533/;20 - 0;16299;16299;60898;;;;5
Marketplace;10381;2020-06-08 22:45:21Z;22;Buenos Aires;City Bell;residential;1896;Correo;Faturado;;1;/517/521/533/;21 - 0;16299;16299;37098;;;;5
Marketplace;3835;2020-06-06 08:56:35Z;24;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;residential;1437;Correo;Faturado;;1;/298/303/324/;22 - L;23999;23999;28499;;;;4
Marketplace;12775;2020-06-09 23:53:15Z;25;CÓRDOBA;Córdoba;residential;5000;Correo;Faturado;;1;/298/303/324/;22 - M;23999;23999;78997;x;;;4
Marketplace;12775;2020-06-09 23:53:15Z;25;CÓRDOBA;Córdoba;residential;5000;Correo;Faturado;;1;/298/303/324/;23 - M;23999;23999;78997;x;;;4
Marketplace;28851;2020-06-27 14:21:49Z;26;MISIONES;Montecarlo;residential;3384;Correo;Faturado;;1;/517/521/533/;24 - 0;32899;32899;150895;x;;;5
Marketplace;8337;2020-06-08 08:19:44Z;27;Córdoba;Villa Del Totoral;residential;5236;Correo;Faturado;;1;/517/521/547/;25 - 0;10599;10599;17498;;;;5
Marketplace;20875;2020-06-16 19:30:59Z;28;Córdoba;Córdoba;pickup;5016;Ret Suc;Faturado;;2;/517/521/547/;26 - 0;11199;22398;22398;;;;5
Marketplace;3317;2020-06-05 20:11:09Z;29;Tucumán;San Miguel De Tucumán;residential;4000;Correo;Faturado;;1;/517/521/547/;26 - 0;11199;11199;37595;;;;5
Marketplace;3885;2020-06-06 09:43:01Z;30;Buenos Aires;Ituzaingo;residential;1714;Correo;Faturado;;1;/517/521/547/;27 - 0;11199;11199;158497;x;;;5
Marketplace;3317;2020-06-05 20:11:09Z;29;Tucumán;San Miguel De Tucumán;residential;4000;Correo;Faturado;;1;/517/521/547/;27 - 0;11199;11199;37595;;;;5
Marketplace;1693;2020-06-03 13:14:07Z;31;Córdoba;Córdoba;pickup;5009;Correo Sucursal;Cancelado;;1;/1/34/244/;28 - 0;599;599;599;;empleado;;1
Marketplace;27097;2020-06-24 17:08:59Z;32;Córdoba;Córdoba;residential;5000;Correo;Faturado;;1;/298/303/337/;29 - M;29999;29999;32499;;;;4
Marketplace;6981;2020-06-07 16:24:48Z;33;Córdoba;Córdoba;residential;5010;Correo;Faturado;;1;/298/307/312/;30 - 0;18099;18099;20599;;;;4
Marketplace;26623;2020-06-23 23:57:42Z;34;Córdoba;Río Segundo;residential;5960;Correo;Faturado;;1;/1/34/38/;31 - 0;8499;8499;73498;x;;;3
Marketplace;18093;2020-06-13 19:51:12Z;35;Córdoba;Porteña;residential;2415;Correo;Faturado;;1;/1/34/38/;31 - 0;8499;8499;89257;x;;;3
Marketplace;13955;2020-06-10 17:40:49Z;36;CÓRDOBA;Córdoba;residential;5000;Correo;Faturado;;1;/295/305/311/;32 - S-M;8499;8499;24298;;;;3
Marketplace;21295;2020-06-17 11:11:40Z;37;BUENOS AIRES;Lomas De Zamora;residential;1832;Correo;Faturado;;1;/295/305/311/;33 - LXL;11599;11599;16099;;;;3
Marketplace;18387;2020-06-14 00:34:04Z;38;Buenos Aires;Quilmes;pickup;1878;Correo Sucursal;Faturado;;1;/298/303/409/;34 - L;24999;24999;61398;x;;;4
Marketplace;31243;2020-06-30 11:45:00Z;39;CÓRDOBA;Capilla Del Monte;residential;5184;Correo;Cancelado;;1;/298/303/409/;35 - L;27540;27540;57540;;empleado;;4
Marketplace;28467;2020-06-26 23:39:29Z;40;SANTA FÉ;Venado Tuerto;residential;2600;Correo;Faturado;;1;/298/303/409/;35 - L;27540;27540;99714;x;;;4
Marketplace;31243;2020-06-30 11:45:00Z;39;CÓRDOBA;Capilla Del Monte;residential;5184;Correo;Cancelado;;1;/298/303/409/;36 - L;25500;25500;57540;;empleado;;4
Marketplace;4485;2020-06-06 14:18:22Z;41;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/298/303/409/;36 - L;29999;29999;29999;;;;4
Marketplace;17661;2020-06-13 11:28:17Z;42;Buenos Aires;El Talar;residential;1617;Correo;Cancelado;;1;/298/303/409/;36 - XXL;25500;25500;30000;;sistema;;4
Marketplace;26111;2020-06-23 11:01:40Z;43;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/298/303/409/;37 - M;25500;25500;25500;;;924;4
Marketplace;18387;2020-06-14 00:34:04Z;38;Buenos Aires;Quilmes;pickup;1878;Correo Sucursal;Faturado;;1;/298/303/409/;37 - M;25500;25500;61398;x;;;4
Marketplace;16515;2020-06-12 15:51:27Z;44;BUENOS AIRES;Virrey Del Pino;residential;1763;Correo;Faturado;;1;/298/303/368/;38 - XL;27540;27540;32040;;;;4
Marketplace;26207;2020-06-23 13:00:30Z;45;Entre Ríos;Paraná;residential;3100;Correo;Faturado;;1;/1/34/76/;39 - 0;2999;2999;60892;x;;;1
Marketplace;26207;2020-06-23 13:00:30Z;45;Entre Ríos;Paraná;residential;3100;Correo;Faturado;;1;/1/34/76/;40 - 0;2499;2499;60892;x;;;1
Marketplace;5483;2020-06-06 22:22:23Z;46;Córdoba;Río Segundo;residential;5960;Correo;Faturado;;1;/1/34/76/;40 - 0;2499;2499;60324;x;;;1
Marketplace;24953;2020-06-21 15:43:37Z;47;Buenos Aires;San Andrés De Giles;residential;6720;Correo;Faturado;;1;/1/34/77/;41 - 5;1199;1199;60798;x;;;2
Marketplace;26355;2020-06-23 16:44:36Z;48;Salta;Castañares;residential;4400;Correo;Faturado;;1;/1/34/37/;42 - M;7399;7399;11899;;;;1
Marketplace;28927;2020-06-27 15:50:28Z;49;Córdoba;Deán Funes;residential;5200;Correo;Faturado;BIENVENIDA;1;/1/34/37/;43 - 0;5039.1;5039.1;60668.2;x;;;1
Marketplace;20427;2020-06-16 11:27:57Z;50;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;residential;1151;Correo;Faturado;;1;/1/34/37/;44 - 0;6499;6499;30398;;;;2
Marketplace;30769;2020-06-29 19:58:34Z;51;Córdoba;Villa Carlos Paz;residential;5152;Correo;Faturado;BIENVENIDA;1;/298/303/326/;45 - L;11879.1;11879.1;53413.2;x;;;4
Marketplace;20309;2020-06-16 09:24:39Z;52;Buenos Aires;Tres Lomas;residential;6409;Correo;Faturado;;1;/298/303/326/;46 - S;14999;14999;57299;;;;4
Marketplace;20777;2020-06-16 17:38:30Z;53;FORMOSA;Laguna Blanca;residential;3613;Correo;Faturado;;1;/298/303/326/;46 - XL;14999;14999;58797;;;;4
Marketplace;29891;2020-06-28 18:20:00Z;54;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;residential;1406;Correo;Faturado;;1;/1/34/;47 - 0;1299;1299;46489;;;;1
Marketplace;27605;2020-06-25 13:46:45Z;55;SANTA FÉ;Gobernador Crespo;residential;3044;Correo;Faturado;;2;/1/34/;47 - 0;1299;2598;60597;x;;;1
Marketplace;23963;2020-06-20 12:59:31Z;56;Córdoba;Córdoba;pickup;5000;Correo Sucursal;Faturado;BIENVENIDA;1;/1/34/;47 - 0;989.1;989.1;7468.2;x;;;1
Marketplace;25801;2020-06-22 19:42:24Z;57;Santiago Del Estero;Los Telares;residential;4321;Correo;Faturado;;1;/298/303/326/;48 - L;14999;14999;19499;;;;4
Marketplace;20115;2020-06-15 23:20:56Z;58;Jujuy;San Salvador De Jujuy;residential;4600;Correo;Faturado;;1;/298/303/326/;48 - L;14999;14999;58438;;;;4
Marketplace;30627;2020-06-29 16:10:20Z;59;Córdoba;Córdoba;pickup;5000;Ret Suc;Cancelado;BIENVENIDA;1;/298/303/326/;48 - XXL;13499.1;13499.1;23218.2;x;empleado;;4
Marketplace;20115;2020-06-15 23:20:56Z;58;Jujuy;San Salvador De Jujuy;residential;4600;Correo;Faturado;;1;/298/303/326/;49 - L;14999;14999;58438;;;;4
Marketplace;20777;2020-06-16 17:38:30Z;53;FORMOSA;Laguna Blanca;residential;3613;Correo;Faturado;;1;/298/303/326/;49 - XL;14999;14999;58797;;;;4
Marketplace;31339;2020-06-30 13:38:17Z;60;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/298/303/326/;50 - L;14999;14999;98831.99;;;;4
Marketplace;30627;2020-06-29 16:10:20Z;59;Córdoba;Córdoba;pickup;5000;Ret Suc;Cancelado;BIENVENIDA;1;/298/303/326/;51 - XXL;9719.1;9719.1;23218.2;x;empleado;;4
Marketplace;1639;2020-06-03 12:23:35Z;61;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;residential;1419;Correo;Faturado;;1;/298/303/326/;52 - 3XL;10799;10799;15299;;;;4
Marketplace;20271;2020-06-16 08:33:46Z;62;Entre Ríos;Paraná;residential;3100;Correo;Faturado;;1;/298/303/326/;52 - S;10799;10799;83365;x;;;4
Fulfillment;627;2020-06-01 20:38:58Z;63;Capital Federal;CABA;residential;1426;Correo;Faturado;;1;/1/34/;53 - 0;54010;54010;54010;;;;1
Marketplace;1641;2020-06-03 12:29:43Z;64;Jujuy;Alto Comedero;residential;4600;Correo;Faturado;;1;/1/34/78/;54 - JR;4199;4199;62183;x;;;1
Marketplace;26139;2020-06-23 11:40:13Z;65;Córdoba;Capital;pickup;5003;Correo Sucursal;Faturado;;1;/1/34/78/;55 - JR;2499;2499;2499;;;;1
Marketplace;28937;2020-06-27 15:54:21Z;66;Córdoba;Córdoba;pickup;5000;Correo Sucursal;Faturado;;1;/1/34/78/;56 - JR;2999;2999;14597;;;;1
Fulfillment;8269;2020-06-08 07:20:58Z;67;Córdoba;los boulevares;residential;5021;Correo;Faturado;;1;/1/34/78/;57 - JR;2750;2750;8250;;;795;1
Marketplace;1641;2020-06-03 12:29:43Z;64;Jujuy;Alto Comedero;residential;4600;Correo;Faturado;;1;/1/34/78/;58 - JR;2199;2199;62183;x;;;1
Marketplace;5127;2020-06-06 19:32:05Z;68;Córdoba;Córdoba;residential;5010;Correo;Faturado;Bienvenida;1;/1/34/78/;59 - JR;2249.1;2249.1;18966.4;x;;;1
Marketplace;1641;2020-06-03 12:29:43Z;64;Jujuy;Alto Comedero;residential;4600;Correo;Faturado;;2;/1/34/78/;59 - JR;2199;4398;62183;x;;;1
Marketplace;28937;2020-06-27 15:54:21Z;66;Córdoba;Córdoba;pickup;5000;Correo Sucursal;Faturado;;1;/1/34/78/;60 - JR;2999;2999;14597;;;;1
Marketplace;5127;2020-06-06 19:32:05Z;68;Córdoba;Córdoba;residential;5010;Correo;Faturado;Bienvenida;1;/1/34/78/;60 - JR;2249.1;2249.1;18966.4;x;;;1
Marketplace;1641;2020-06-03 12:29:43Z;64;Jujuy;Alto Comedero;residential;4600;Correo;Faturado;;1;/1/34/78/;60 - JR;2199;2199;62183;x;;;1
Marketplace;18159;2020-06-13 21:11:20Z;69;Córdoba;Córdoba;pickup;5016;Ret Suc;Faturado;;1;/295/301/309/;61 - 3232;52425;52425;73590;;;;3
Marketplace;21661;2020-06-17 19:19:36Z;70;MISIONES;Puerto Rico;residential;3334;Correo;Faturado;;1;/295/301/309/;61 - 3434;52425;52425;90855;x;;;3
Marketplace;19461;2020-06-15 11:19:44Z;71;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/295/301/309/;61 - 3634;52425;52425;52425;;;;3
Marketplace;13493;2020-06-10 13:28:18Z;70;MISIONES;Puerto Rico;residential;3334;Correo;Cancelado;;1;/295/301/309/;62 - 4034;54899;54899;93329;x;sistema;;3
Marketplace;21661;2020-06-17 19:19:36Z;70;MISIONES;Puerto Rico;residential;3334;Correo;Faturado;;1;/295/301/309/;63 - 4034;38430;38430;90855;x;;;3
Marketplace;13493;2020-06-10 13:28:18Z;70;MISIONES;Puerto Rico;residential;3334;Correo;Cancelado;;1;/295/301/309/;63 - 4034;38430;38430;93329;x;sistema;;3
Marketplace;13185;2020-06-10 10:48:57Z;70;MISIONES;Puerto Rico;residential;3334;Correo;Cancelado;;1;/295/301/309/;63 - 4034;38430;38430;42930;;sistema;;3
Marketplace;1641;2020-06-03 12:29:43Z;64;Jujuy;Alto Comedero;residential;4600;Correo;Faturado;;1;/1/34/78/;64 - JR;2299;2299;62183;x;;;1
Marketplace;26147;2020-06-23 11:46:43Z;65;Córdoba;Capital;pickup;5003;Correo Sucursal;Faturado;;1;/1/34/78/;65 - JR;2299;2299;2299;;;;1
Marketplace;17801;2020-06-13 14:26:01Z;72;Córdoba;Córdoba;pickup;5000;Correo Sucursal;Faturado;;1;/1/34/78/;65 - JR;2299;2299;2299;;;;1
Marketplace;5127;2020-06-06 19:32:05Z;68;Córdoba;Córdoba;residential;5010;Correo;Faturado;Bienvenida;1;/1/34/78/;65 - JR;2069.1;2069.1;18966.4;x;;;1
Marketplace;1641;2020-06-03 12:29:43Z;64;Jujuy;Alto Comedero;residential;4600;Correo;Faturado;;2;/1/34/78/;65 - JR;1999;3998;62183;x;;;1
Marketplace;2669;2020-06-04 20:51:57Z;73;Buenos Aires;Bolívar;residential;6550;Correo;Faturado;;1;/1/34/78/;66 - SR;2599;2599;23398;;;;1
Marketplace;8009;2020-06-07 23:44:59Z;74;Buenos Aires;C.A.B.A.;pickup;1043;Correo Sucursal;Faturado;;1;/298/303/409/;67 - M;41999;41999;46499;;;;4
Marketplace;5109;2020-06-06 19:19:13Z;75;Córdoba;Córdoba;pickup;5000;Correo Sucursal;Faturado;;1;/1/34/38/;68 - SR;2099;2099;20598;;;;1
Marketplace;587;2020-06-01 19:34:25Z;76;Buenos Aires;San Fernando;residential;1646;Correo;Cancelado;;1;/1/34/38/;68 - SR;1799;1799;14098;;;;1
Marketplace;883;2020-06-02 10:53:38Z;77;Córdoba;Córdoba;pickup;5014;Correo Sucursal;Faturado;;1;/1/34/38/;69 - JR;1799;1799;7196;;;;1
Marketplace;883;2020-06-02 10:53:38Z;77;Córdoba;Córdoba;pickup;5014;Correo Sucursal;Faturado;;1;/1/34/38/;70 - JR;1799;1799;7196;;;;1
Marketplace;883;2020-06-02 10:53:38Z;77;Córdoba;Córdoba;pickup;5014;Correo Sucursal;Faturado;;1;/1/34/38/;71 - JR;1799;1799;7196;;;;1
Marketplace;883;2020-06-02 10:53:38Z;77;Córdoba;Córdoba;pickup;5014;Correo Sucursal;Faturado;;1;/1/34/38/;72 - JR;1799;1799;7196;;;;1
Marketplace;26207;2020-06-23 13:00:30Z;45;Entre Ríos;Paraná;residential;3100;Correo;Faturado;;5;/1/34/39/;73 - 0;199;995;60892;x;;;1
Marketplace;20329;2020-06-16 09:59:45Z;78;Córdoba;Córdoba;pickup;5000;Correo Sucursal;Cancelado;;1;/1/34/39/;74 - 0;199;199;199;;;;1
Marketplace;31389;2020-06-30 14:26:59Z;39;CÓRDOBA;Capilla Del Monte;residential;5184;Correo;Cancelado;;1;/298/303/426/;75 - L;23999;23999;63738;x;;;4
Marketplace;31367;2020-06-30 14:04:17Z;39;CÓRDOBA;Capilla Del Monte;residential;5184;Correo;Cancelado;;1;/298/303/426/;76 - L;23999;23999;64198;;empleado;;4
Marketplace;28277;2020-06-26 19:05:13Z;79;Córdoba;Río Tercero;residential;5850;Correo;Faturado;;1;/1/34/76/;77 - 0;6199;6199;61396;x;;;1
Marketplace;21155;2020-06-17 07:17:58Z;80;Chaco;Presidencia Roque Saenz Peña;residential;3700;Correo;Faturado;;1;/1/34/648/;78 - 0;2999;2999;85174;x;;;1
Marketplace;12843;2020-06-10 01:10:55Z;81;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/295/301/309/;79 - 3634;43920;43920;43920;;;;4
Marketplace;11915;2020-06-09 16:54:02Z;82;Córdoba;Villa Carlos Paz;residential;5152;Correo;Faturado;;1;/295/301/309/;79 - 3834;43920;43920;99870;x;;;3
Marketplace;8691;2020-06-08 11:29:00Z;83;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/295/301/309/;80 - 3030;38430;38430;48190;;;;3
Marketplace;10783;2020-06-09 00:18:58Z;84;Río Negro;General Roca;residential;8332;Correo;Faturado;;1;/295/301/309/;80 - 3232;38430;38430;42930;;;;3
Marketplace;9457;2020-06-08 17:21:16Z;85;Salta;Salta;residential;4400;Correo;Faturado;;1;/295/301/309/;80 - 3232;38430;38430;42930;;;;4
Marketplace;7089;2020-06-07 17:26:39Z;85;Salta;Salta;residential;4400;Correo;Cancelado;;1;/295/301/309/;80 - 3232;38430;38430;42930;;sistema;;4
Marketplace;11915;2020-06-09 16:54:02Z;82;Córdoba;Villa Carlos Paz;residential;5152;Correo;Faturado;;1;/295/301/309/;80 - 3834;38430;38430;99870;x;;;3
Marketplace;14881;2020-06-11 11:18:19Z;86;Córdoba;Córdoba;residential;5000;Correo;Faturado;;1;/1/34/72/;81 - M;18899;18899;21399;;;;1
Fulfillment;20957;2020-06-16 21:22:53Z;87;Jujuy;San Salvador de Jujuy;residential;4600;Correo;Faturado;;1;/1/34/72/;82 - M;21120;21120;21120;;;;1
Marketplace;7977;2020-06-07 23:31:09Z;88;Entre Rios;Concordia;pickup;3200;Correo Sucursal;Faturado;;1;/298/303/327/;83 - XL;35999;35999;90998;x;;;4
Marketplace;28677;2020-06-27 10:25:56Z;89;Córdoba;Río Tercero;residential;5850;Correo;Faturado;;2;/1/34/39/;84 - 0;9199;18398;38896;;;;1
Marketplace;3073;2020-06-05 14:47:16Z;90;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/298/303/355/;85 - L;6999;6999;69798;;;;4
Marketplace;7377;2020-06-07 19:33:32Z;91;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/298/303/355/;86 - L;6999;6999;84497;;;;4
Marketplace;7259;2020-06-07 18:49:55Z;92;Buenos Aires;Olavarría;residential;7400;Correo;Faturado;;1;/298/307/321/;87 - L;11999;11999;16499;;;;4
Marketplace;30441;2020-06-29 12:24:39Z;93;Salta;Salta;residential;4400;Correo;Faturado;BIENVENIDA;1;/295/305/310/;88 - 0;18359.1;18359.1;45659.1;x;;;3
Marketplace;6119;2020-06-07 09:52:52Z;94;Buenos Aires;Tandil;residential;7000;Correo;Faturado;;1;/298/307/314/;89 - 0;24199;24199;28699;;;;4
Marketplace;28525;2020-06-27 01:36:30Z;95;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/295/305/306/;90 - 0;16699;16699;16699;;;;3
Marketplace;19593;2020-06-15 13:46:37Z;96;Córdoba;Córdoba;pickup;5000;Ret Suc;Cancelado;;1;/295/305/306/;90 - 0;16699;16699;16699;;empleado;;3
Marketplace;29123;2020-06-27 19:21:41Z;97;Santa Fé;San Jorge;residential;2452;Correo;Faturado;BIENVENIDA;1;/1/34/43/;91 - 0;24749.1;24749.1;29249.1;x;;;1
Marketplace;23255;2020-06-19 18:27:25Z;98;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/295/305/310/;92 - 0;33199;33199;33199;;;;3
Marketplace;22559;2020-06-18 21:09:55Z;99;CÓRDOBA;La Calera;residential;5151;Correo;Faturado;;1;/295/305/310/;93 - 0;24199;24199;28699;;;;3
Marketplace;295;2020-06-01 13:45:57Z;100;Córdoba;Córdoba;residential;5006;Correo;Cancelado;;1;/295/305/310/;93 - 0;21999;21999;100895;x;;;3
Marketplace;15077;2020-06-11 13:25:10Z;101;Córdoba;Córdoba;residential;5000;Correo;Faturado;;1;/295/305/306/;94 - 0;21199;21199;50798;;;;3
Marketplace;4053;2020-06-06 11:10:42Z;102;Buenos Aires;C.A.B.A.;pickup;1426;Correo Sucursal;Faturado;;1;/295/305/306/;94 - 0;21199;21199;25699;;;;3
Marketplace;30147;2020-06-28 23:13:03Z;103;Buenos Aires;Dudignac;residential;6505;Correo;Faturado;;1;/1/34/39/;95 - 5;9999;9999;63998;x;;;1
Marketplace;28913;2020-06-27 15:39:21Z;104;Córdoba;Córdoba;pickup;5009;Correo Sucursal;Faturado;;1;/1/34/39/;95 - 5;9999;9999;9999;;;;1
Fulfillment;30373;2020-06-29 11:03:08Z;105;Santa Fe;San Lorenzo;residential;2200;Correo;Faturado;;1;/1/34/39/;95 - 5;11000;11000;11000;;;29;1
Fulfillment;30243;2020-06-29 06:51:16Z;106;Buenos Aires;Aldo Bonzi;residential;1770;Correo;Faturado;;1;/1/34/39/;95 - 5;11000;11000;11000;;;;1
Fulfillment;29019;2020-06-27 17:43:19Z;107;Córdoba;Córdoba;residential;5010;Correo;Faturado;;1;/1/34/39/;95 - 5;11000;11000;11000;;;;1
Marketplace;29643;2020-06-28 13:18:25Z;108;Córdoba;Córdoba;pickup;5016;Correo Sucursal;Faturado;;1;/1/34/39/;96 - 5;17199;17199;17199;;;;1
Marketplace;3371;2020-06-05 21:14:25Z;109;Córdoba;Córdoba;pickup;5000;Ret Suc;Faturado;;1;/1/46/49/;97 - 45;22199;22199;22199;;;;2
Marketplace;27629;2020-06-25 14:19:09Z;110;Córdoba;Córdoba;pickup;5014;Correo Sucursal;Faturado;;1;/1/46/47/;98 - 38;28099;28099;28099;;;;1
Marketplace;22391;2020-06-18 18:07:02Z;111;Corrientes;Gobernador Virasoro;residential;3342;Correo;Faturado;;1;/1/46/47/;99 - 39;25099;25099;29599;;;;1
Marketplace;15215;2020-06-11 14:53:17Z;112;SAN JUAN;San Juan;residential;5400;Correo;Faturado;;1;/295/296/297/;100 - 75;48599;48599;229628;x;;;4
Marketplace;20373;2020-06-16 10:30:58Z;113;Córdoba;Córdoba;residential;5014;Correo;Faturado;;1;/295/296/297/;101 - 65;55999;55999;61498;x;;;3
Marketplace;4059;2020-06-06 11:13:31Z;114;JUJUY;La Quiaca;residential;4650;Correo;Faturado;;1;/295/296/297/;101 - 75;55999;55999;60499;;;;3
Marketplace;1455;2020-06-03 07:02:18Z;115;Córdoba;Porteña;residential;2415;Correo;Faturado;;1;/295/296/297/;101 - 75;55999;55999;60499;;;;4
Marketplace;22263;2020-06-18 15:22:37Z;116;Buenos Aires;Ituzaingo;residential;1714;Correo;Cancelado;;1;/295/296/297/;101 - 80;57999;57999;62499;;;;3
Marketplace;23287;2020-06-19 18:48:58Z;117;Buenos Aires;La Plata;residential;1900;Correo;Cancelado;;1;/295/296/297/;101 - 85;57999;57999;77919;x;sistema;;4
